DA10102	VI SORBITS
DTE0139	SAFE GUARD KN 95 - TOP UP
DTE0144	S/G DIS 3PLY F/M 10 S COLOURED
DTE0147	MOODS GOLD COOL CONDOM 3'S
DTE0148	BJ00010300-BETA LADIES SANDAL
DTE0149	BJ00010400-BETA LADIES SANDAL
DTE0150	BJ00010500-BETA LADIES SANDAL
DTE0151	BJ00010600-BETA LADIES SANDAL
DTE0152	BJ00010700-BETA LADIES SANDAL
DTE0153	BJ00010800-BETA LADIES SANDAL
DTE0154	BJ00020500-BETA GENTS SANDAL
DTE0155	BJ00020600-BETA GENTS SANDAL
DTE0156	BJ00020700-BETA GENTS SANDAL
DTE0157	BJ00020800-BETA GENTS SANDAL
DTE0158	BJ00020900-BETA GENTS SANDAL
DTE0159	BJ00021000-BETA GENTS SANDAL
DTE0160	BJ00030500-BETA UNISEX SANDAL
DTE0161	BJ00030600-BETA UNISEX SANDAL
DTE0162	BJ00030700-BETA UNISEX SANDAL
DTE0163	BJ00030800-BETA UNISEX SANDAL
DTE0164	BJ00030900-BETA UNISEX SANDAL
DTE0165	BJ00031000-BETA GENTS SANDAL
DTE0166	BJ00031100-BETA GENTS SANDAL
DTE0167	BJ00040500-BETA UNISEX SANDAL
DTE0168	BJ00040600-BETA UNISEX SANDAL
DTE0169	BJ00040700-BETA UNISEX SANDAL
DTE0170	BJ00040800-BETA UNISEX SANDAL
DTE0171	BJ00040900-BETA UNISEX SANDAL
DTE0172	BJ00041000-BETA GENTS SANDAL
DTE0173	BJ00041100-BETA GENTS SANDAL
DTE0174	BJ00060600-BETA UNISEX CASUAL SHOE-GRAY
DTE0175	BJ00060700-BETA UNISEX CASUAL SHOE-GRAY
DTE0176	BJ00060800-BETA UNISEX CASUAL SHOE-GRAY
DTE0177	BJ00060900-BETA UNISEX CASUAL SHOE-GRAY
DTE0178	BJ00061000-BETA UNISEX CASUAL SHOE-GRAY
DTE0179	BJ00061100-BETA UNISEX CASUAL SHOE-GRAY
DTE0180	BJ00070600-BETA UNISEX CASUAL SHOE-BLUE
DTE0181	BJ00070700-BETA UNISEX CASUAL SHOE-BLUE
DTE0182	BJ00070800-BETA UNISEX CASUAL SHOE-BLUE
DTE0183	BJ00070900-BETA UNISEX CASUAL SHOE-BLUE
DTE0184	BJ00071000-BETA UNISEX CASUAL SHOE-BLUE
DTE0185	BJ00071100-BETA UNISEX CASUAL SHOE-BLUE
DTE0186	BJ0008-BETA DIABETIC SOCKS
DTE0196	MEDIGRIP PLASTER W/O/DIS 1.25CM
DTE0197	MEDIGRIP PLASTER W/O/DIS 2.5CM
DTE0198	MEDIGRIP PLASTER W/O/DIS 5CM
DTE0199	MEDIGRIP PLASTER W/O/DIS 7.5CM
DTE0200	STIM TUF DENTAL FLOSS
DTE0203	MENTHOSIL NASAL INHALER
DTE0204	VIROMEDI KIDS BLUE DIS. 3PLY F/M E/L 10'S
DTE0205	VIROMEDI KIDS PINK DIS. 3PLY F/M E/L 10'S
DTE0206	VIROMEDI KIDS PRINTED DIS. 3PLY F/M E/L 10'S
DTE0207	VIROMEDI DIS. 3PLY F/M E/L 10'S
DTE0209	DT GLYCERIN SOAP DRY SKIN 
DTE0210	DT GLYCERIN SOAP OILY SKIN 
DTE0211	SWEETIE SWEETENER SACHET 25S 
DTE0212	STEVI SWEETENER  SACHET 25S 
DTE0214	SB FIRST AID BOX - PLASTIC
DTE0215	SB GENTION VIOLET
DTE0216	SB COTTON CREPE 7.5CMX4.5M
DTE0217	SB COTTON CREPE 10CMX4.5M
DTE0218	SB ELASTIC CREPE 7.5CMX4.5M
DTE0219	SB ELASTIC CREPE 10CMX4.5M
DTE0220	SB ZINC OXIDE PLASTER 1"X1YD
DTE0221	SB ZINC OXIDE PLST 1/2"X5YDS
DTE0222	SB ZINC OXIDE PLASTER 1"X5YDS
DTE0223	NT I.V.CANNULA 20G - PINK
DTE0224	NT I.V.CANNULA 24G - YELLOW
DTE0225	NT ICE WATER BAG
DTE0226	NT HOT WATER BAG
DTE0227	NT FOLEY CATHETER 14FR
DTE0228	NT FOLEY CATHETER 16FR
DTE0229	NT COOLER BOX WITHOUT COVER
DTE0230	NT MEASURING CUP 300ML- B
DTE0231	NT MEASURING CUP 300ML- W
DTE0232	NT DROPPER
DTE0233	NT S/ C STERILE GAUZE 10 X 10
DTE0234	NT BED PAN NORMAL
DTE0235	NT URINAL MALE
DTE0236	NT PRETTY BABY FINGER BRUSH
DTE0237	NT URINE CULTURE BOTTLE
DTE0238	NT MEASURING CUP 125ML
DTE0239	NT MG SYRINGE 1ML X 29G
DTE0240	NT MG SYRINGE 3ML X 23G
DTE0241	NT MG SYRINGE 5ML X 23G
DTE0242	NT MG SYRINGE 10ML X 21G
DTE0243	NT I.V.CANNULA 18G - GREEN
DTE0244	NT I.V.CANNULA 22G - BLUE
DTE0245	WIDE CARE HCG STRIP
DTE0246	NT COLOBAG
DTE0247	UNIVERSAL MAGNESIUM SULPHATE
DTE0248	UNIVERSAL MENTHOL CRYSTALS
DTE0249	UNIVERSAL HYDROGEN PEROXIDE
DTE0250	FIRST AID SURGICAL ANTISEPTIC SOLUTION
DTE0251	FIRST AID SURGICAL ANTISEPTIC SOLUTION
DTE0252	FIRST AID SURGICAL ANTISEPTIC SOLUTION
DTE0253	ELASTOCREPE 8CMX4M
DTE0254	AIRPORE H/D 10CMX10CM
DTE0255	AIRPORE H/D RECTANGLE 6CMX8CM
DTE0256	AIPRORE H/D OVAL 4CMX6CM
DTE0257	AIRPORE H/D OVAL 4CMX6CM 10'S
DTE0258	AIRPORE H/D PLASTER 2.5CMX6CM
DTE0259	AIRPORE H/D PLASTER 2.5CMX6CM 10'S
DTE0260	FEEL FINE INSULIN NEEDLE
DTE0261	NT CLINICAL THERMOMETER
DTE0263	ECO MOSQUITO REPELLENT SPRAY
DTE0264	PERIOD CUP FAIR SQUARED - M
DTE0265	OMRON HEM-7121J UPPER ARM BP MONITOR
DTE0266	K-TAPE HIGH PERFORMANCE SINGLE COLOUR GERMAN
DTE0267	K-TAPE PERFORMANCE PLUS SINGLE COLOUR JAPANESE
DTE0268	K-TAPE PERFORMANCE PLUS DESIGN JAPANESE
DTE0271	O/T SELECT PLUS B/G STRIPS 50S
DTE0272	O/T DELICA PLUS LANCETS
DTE0273	PRODIGY SOLO STRIPS
DTE0274	BEAM HEAD MASTER ROLL ON
DTE0275	SAHANA PILL BOX 7 DAYS
DTE0276	ACCU-TELL HCG STRIP
DTE0277	PERIOD CUP FAIR SQUARED - S
DTE0278	PERIOD CUP FAIR SQUARED - L
DTE0279	PERIOD CUP FAIR SQUARED - XL
DTE0280	DETTOL LIQUID
DTE0281	MUCRO ACNE CARE BATHING BAR
DTE0282	VICKS BABYRUB
DTE0283	VICKS BABYRUB
DTE0284	VICKS BABYRUB
DTE0285	DETTOL LIQUID
DTE0286	NISSEI DS-11 BP MONITOR
DTE0287	BJ0001205-BETA GENTS SHOE
DTE0288	BJ0001206-BETA GENTS SHOE
DTE0289	BJ0001207-BETA GENTS SHOE
DTE0290	BJ0001208-BETA GENTS SHOE
DTE0291	BJ0001209-BETA GENTS SHOE
DTE0292	BJ0001210-BETA GENTS SHOE
DTE0293	BJ0001211-BETA GENTS SHOE
DTE0294	FLAMINGO MEDIAL ARCH SUPPORT 
DTE0295	FLAMINGO GEL EX. BALL-SOFT YELLOW
DTE0296	FLAMINGO WAIST TRIMMER - L
DTE0297	FLAMINGO SILLICONE TOE SEPARATORS 
DTE0298	FLAMINGO COOL EYES
DTE0299	FLAMINGO SPORTS ELBOW BAND-BLUE
DTE0300	OPPO-1021 OPEN KNEE SUPPORT-M
DTE0301	OPPO-1021 OPEN KNEE SUPPORT-L
DTE0302	OPPO-1024 OPEN KNEE SUPP-FREE SIZE
DTE0303	OPPO-3973 COLD & HOT PACK
DTE0304	MARVEL GUARD UNDER PADS 10S
DU10401	DUPHASTON 10MG
DU10512	CANDID-V6 PESSARIES
DU10513	CANDID V-3 PESSARIES
DU10701	BETADINE VAGINAL PESSARIES 10S
DU13001	DUINUM TABLETS
DU30302	CANDID V GEL 30G
